,openTime,open,high,low,close,volume,closeTime,quoteAssetVolume,numOfTrades,takerBuyBaseAssetVolume,takerBuyQuoteAssetVolume,_
0,1674000000000,1565.56000000,1574.58000000,1562.93000000,1570.59000000,13596.59370000,1674003599999,21339053.40946900,21543,6791.73570000,10660055.96165000,0
1,1674003600000,1570.60000000,1581.44000000,1570.18000000,1581.09000000,13895.73420000,1674007199999,21881544.30825300,21733,7624.92920000,12009467.68814500,0
2,1674007200000,1581.09000000,1587.72000000,1570.44000000,1583.95000000,25015.98960000,1674010799999,39527916.91239400,30645,13712.35580000,21668456.85245700,0
3,1674010800000,1583.96000000,1592.01000000,1581.51000000,1582.01000000,20188.67310000,1674014399999,32034514.21962900,26093,10111.65980000,16047838.46565200,0
4,1674014400000,1582.00000000,1585.85000000,1578.86000000,1585.38000000,10783.13600000,1674017999999,17064965.38117400,16762,6085.51560000,9629296.12703600,0
5,1674018000000,1585.38000000,1588.72000000,1583.50000000,1587.26000000,11934.10170000,1674021599999,18932476.27757100,16073,6749.41350000,10707122.01092500,0
6,1674021600000,1587.26000000,1587.75000000,1580.30000000,1582.05000000,10383.33780000,1674025199999,16443850.68045900,15994,4769.50830000,7553105.18124900,0
7,1674025200000,1582.05000000,1584.10000000,1579.63000000,1583.14000000,15091.62540000,1674028799999,23875640.63082900,16728,8388.70290000,13272283.56763700,0
8,1674028800000,1583.14000000,1583.77000000,1571.57000000,1576.66000000,18081.04460000,1674032399999,28518168.96259400,23361,9118.99770000,14381525.36054200,0
9,1674032400000,1576.66000000,1582.00000000,1570.67000000,1578.47000000,15224.88760000,1674035999999,24008777.95105200,21971,7831.76200000,12352911.93182400,0
10,1674036000000,1578.48000000,1579.62000000,1572.27000000,1573.60000000,9872.69060000,1674039599999,15558427.97281200,16914,4821.54570000,7598770.75057300,0
11,1674039600000,1573.60000000,1578.41000000,1573.05000000,1575.90000000,6836.92470000,1674043199999,10775680.36755200,15252,3509.69290000,5531135.81765700,0
12,1674043200000,1575.90000000,1583.58000000,1575.90000000,1580.09000000,9517.82590000,1674046799999,15034430.05758900,18413,5981.60000000,9448843.06416600,0
13,1674046800000,1580.09000000,1599.00000000,1575.60000000,1594.24000000,52421.98630000,1674050399999,83215763.51321200,54119,26874.89360000,42665344.47915400,0
14,1674050400000,1594.23000000,1610.00000000,1586.92000000,1593.64000000,60405.34980000,1674053999999,96468049.83804800,65112,30122.42920000,48116460.43950800,0
