,openTime,open,high,low,close,volume,closeTime,quoteAssetVolume,numOfTrades,takerBuyBaseAssetVolume,takerBuyQuoteAssetVolume,_
0,1669939200000,16978.00000000,16983.96000000,16953.07000000,16959.92000000,2477.27403000,1669940099999,42035109.98428960,39800,1261.55753000,21406356.19479030,0
1,1669940100000,16960.74000000,16982.06000000,16951.46000000,16970.46000000,1873.33343000,1669940999999,31789489.06254410,32353,910.77555000,15456449.53410220,0
2,1669941000000,16969.80000000,16991.10000000,16958.78000000,16986.87000000,2767.16263000,1669941899999,46969146.08418100,55153,1452.04754000,24647332.45362090,0
3,1669941900000,16986.87000000,17046.45000000,16978.03000000,17037.82000000,3654.61547000,1669942799999,62143524.20062580,62974,1852.29296000,31499653.41278870,0
4,1669942800000,17037.82000000,17048.99000000,16988.00000000,17001.63000000,2979.83905000,1669943699999,50685201.12577340,58005,1472.32591000,25042182.65455970,0
5,1669943700000,17001.63000000,17004.28000000,16978.00000000,16990.36000000,2488.68331000,1669944599999,42280364.88459470,44232,1121.10100000,19046698.31029560,0
6,1669944600000,16990.36000000,16998.02000000,16943.54000000,16946.60000000,1781.23664000,1669945499999,30234086.86494020,39972,811.72551000,13778701.91261920,0
7,1669945500000,16946.17000000,16946.85000000,16869.57000000,16925.79000000,4697.16401000,1669946399999,79403745.32288310,92724,2283.47882000,38602431.18653900,0
8,1669946400000,16925.25000000,16937.79000000,16857.89000000,16871.53000000,3295.46726000,1669947299999,55712717.28015380,68452,1566.07586000,26478367.32535390,0
9,1669947300000,16871.53000000,16929.83000000,16861.50000000,16917.05000000,3318.04415000,1669948199999,56089638.78220100,61044,1714.46471000,28983546.66533600,0
10,1669948200000,16917.05000000,16942.22000000,16902.00000000,16911.77000000,2527.59739000,1669949099999,42773735.78661590,46672,1385.69184000,23450965.75718200,0
11,1669949100000,16911.77000000,16928.73000000,16888.01000000,16920.59000000,1663.94427000,1669949999999,28125926.56565790,42532,777.18355000,13137827.81632380,0
12,1669950000000,16920.59000000,16929.98000000,16913.82000000,16929.25000000,1261.46274000,1669950899999,21346556.64049370,31876,638.33123000,10802045.01533530,0
13,1669950900000,16929.25000000,16930.35000000,16894.31000000,16897.17000000,2043.67121000,1669951799999,34567837.34051690,37707,1023.09252000,17304708.56157770,0
14,1669951800000,16897.17000000,16906.63000000,16893.68000000,16904.37000000,1053.68458000,1669952699999,17808106.10223010,27775,526.38483000,8896535.92564430,0
15,1669952700000,16904.91000000,16912.23000000,16890.05000000,16902.03000000,1369.76586000,1669953599999,23146943.40881730,32484,681.86907000,11523015.83993980,0
16,1669953600000,16902.03000000,16902.25000000,16879.08000000,16887.46000000,1742.89538000,1669954499999,29440186.26261080,39964,830.99837000,14036976.11082490,0
17,1669954500000,16887.46000000,16926.00000000,16885.00000000,16922.54000000,1865.69844000,1669955399999,31547346.25745220,40709,1016.72735000,17192190.76224490,0
18,1669955400000,16922.54000000,16933.58000000,16914.48000000,16920.54000000,1557.77564000,1669956299999,26361145.48536480,31715,755.78077000,12789968.64947010,0
19,1669956300000,16921.33000000,16934.10000000,16920.00000000,16927.78000000,1242.15461000,1669957199999,21024073.39735860,26947,657.93693000,11136086.94295560,0
20,1669957200000,16927.78000000,16944.77000000,16922.73000000,16941.86000000,1550.56769000,1669958099999,26256054.30388970,35104,770.45960000,13046770.51241890,0
21,1669958100000,16941.85000000,16944.84000000,16930.90000000,16938.48000000,1182.92004000,1669958999999,20035887.34230360,29266,570.96506000,9670978.09893900,0
22,1669959000000,16937.97000000,16939.59000000,16925.74000000,16931.66000000,1170.54548000,1669959899999,19821642.00800730,26412,549.01231000,9296936.58041400,0
23,1669959900000,16931.66000000,16940.96000000,16928.36000000,16934.84000000,1054.83199000,1669960799999,17862876.79458070,27059,532.90275000,9024445.35819330,0
24,1669960800000,16935.46000000,16941.11000000,16926.00000000,16926.93000000,1052.97546000,1669961699999,17830601.55983720,26661,527.71482000,8936226.89004150,0
25,1669961700000,16927.56000000,16952.63000000,16923.30000000,16942.15000000,1316.28497000,1669962599999,22296818.96527090,34073,685.39564000,11610077.55542470,0
26,1669962600000,16942.15000000,16953.55000000,16920.01000000,16922.44000000,1447.26770000,1669963499999,24509801.09085990,36534,690.84376000,11700083.77661350,0
27,1669963500000,16922.69000000,16929.00000000,16907.21000000,16910.53000000,1566.96366000,1669964399999,26511471.27382840,35374,695.96542000,11775471.66214350,0
28,1669964400000,16910.82000000,16935.00000000,16906.99000000,16928.17000000,1632.85640000,1669965299999,27630095.24252020,38030,832.05918000,14079805.97868810,0
29,1669965300000,16928.17000000,16940.92000000,16923.00000000,16929.67000000,1482.65343000,1669966199999,25105256.81007250,32363,751.79961000,12730168.70979420,0
30,1669966200000,16929.27000000,16973.72000000,16928.84000000,16965.74000000,2205.38264000,1669967099999,37384602.44013580,46018,1238.70501000,20997919.75140160,0
31,1669967100000,16965.35000000,16970.21000000,16948.70000000,16955.82000000,2023.04837000,1669967999999,34307793.01695960,43701,1001.41766000,16982712.91120060,0
32,1669968000000,16955.42000000,16961.27000000,16936.15000000,16957.97000000,1555.29322000,1669968899999,26367344.96275450,43210,765.38562000,12976193.88759390,0
33,1669968900000,16957.97000000,16970.00000000,16943.50000000,16949.89000000,1485.31454000,1669969799999,25180873.93219930,37791,696.90486000,11815021.60377950,0
34,1669969800000,16949.63000000,16971.35000000,16946.00000000,16966.43000000,1467.74911000,1669970699999,24892455.53882930,34991,768.93696000,13040907.21795730,0
35,1669970700000,16966.44000000,16972.00000000,16956.63000000,16964.56000000,1397.02800000,1669971599999,23701004.62807540,34267,685.39563000,11628118.50499800,0
36,1669971600000,16964.56000000,16972.85000000,16957.69000000,16969.48000000,1223.63806000,1669972499999,20760077.71440670,29695,624.95853000,10603141.92080820,0
37,1669972500000,16969.48000000,16976.80000000,16956.00000000,16962.65000000,1556.46390000,1669973399999,26409789.57476140,35081,753.37585000,12783464.94578170,0
38,1669973400000,16962.65000000,16989.57000000,16961.46000000,16968.82000000,2010.63224000,1669974299999,34129670.13180420,41591,1020.00028000,17314165.68367520,0
39,1669974300000,16968.29000000,16980.34000000,16960.01000000,16962.17000000,1636.86723000,1669975199999,27773711.67969740,38867,804.75291000,13654824.91443890,0
40,1669975200000,16962.17000000,16970.00000000,16955.39000000,16962.56000000,1476.53557000,1669976099999,25044716.87068560,33849,756.33049000,12828860.28983560,0
41,1669976100000,16963.11000000,16976.15000000,16948.63000000,16949.52000000,1901.51554000,1669976999999,32253785.60998230,37550,830.52939000,14088351.98272340,0
42,1669977000000,16949.52000000,16961.56000000,16946.13000000,16956.08000000,1415.86894000,1669977899999,24006394.30318710,31998,663.39569000,11248335.46626070,0
43,1669977900000,16955.43000000,16969.90000000,16950.01000000,16969.21000000,1529.88646000,1669978799999,25946699.88468980,30216,882.83869000,14973271.65794780,0
44,1669978800000,16969.21000000,16988.23000000,16956.02000000,16959.54000000,2378.22850000,1669979699999,40359394.31077860,49387,1101.39366000,18691680.74836900,0
45,1669979700000,16959.54000000,17004.46000000,16954.45000000,16989.84000000,2804.56712000,1669980599999,47605560.68414000,47287,1486.46727000,25233123.30626920,0
46,1669980600000,16989.30000000,17065.00000000,16981.19000000,17018.13000000,6336.84549000,1669981499999,107853826.20558950,100974,2887.86725000,49139159.98139190,0
47,1669981500000,17018.13000000,17021.06000000,16990.00000000,16996.92000000,2413.31081000,1669982399999,41024378.26248400,54207,1098.27578000,18669973.15000230,0
48,1669982400000,16996.92000000,17027.78000000,16985.79000000,17025.89000000,2493.62959000,1669983299999,42406691.26922010,54922,1265.08670000,21515283.46296690,0
49,1669983300000,17025.89000000,17047.28000000,17011.20000000,17020.87000000,2608.02488000,1669984199999,44406878.81944030,58176,1352.28880000,23026164.09995380,0
50,1669984200000,17020.87000000,17024.80000000,16994.94000000,17011.25000000,1929.79803000,1669985099999,32825035.60337800,46987,893.83219000,15204052.75083670,0
51,1669985100000,17011.97000000,17039.00000000,17005.17000000,17031.50000000,1809.44712000,1669985999999,30793233.20188720,39117,918.42523000,15630211.42627840,0
