,time_horizon,change_tolerance,forward_term,break_away_point,alpha,trend_reversal_factor,val_mean_absolute_error
-1,1hr,0.5,5,1,0.5,0.3,0.176579087972641
0,1hr,0.5,5,1,0.5,0.6,0.19056421518325806
1,1hr,0.5,5,2,0.5,0.3,0.1780305653810501
2,1hr,0.5,5,2,0.5,0.6,0.19065521657466888
3,1hr,0.5,8,1,0.5,0.3,0.19447770714759827
4,1hr,0.5,8,1,0.5,0.6,0.1840401142835617
5,1hr,0.5,8,2,0.5,0.3,0.1843850165605545
6,1hr,0.5,8,2,0.5,0.6,0.19036656618118286
7,1hr,1.0,5,1,0.5,0.3,0.2064734846353531
8,1hr,1.0,5,1,0.5,0.6,0.19398851692676544
9,1hr,1.0,5,2,0.5,0.3,0.20713461935520172
10,1hr,1.0,5,2,0.5,0.6,0.1943451166152954
11,1hr,1.0,8,1,0.5,0.3,0.21828928589820862
12,1hr,1.0,8,1,0.5,0.6,0.216500386595726
13,1hr,1.0,8,2,0.5,0.3,0.21349330246448517
14,1hr,1.0,8,2,0.5,0.6,0.20460163056850433
15,12hr,0.5,5,1,0.5,0.3,0.196292445063591
16,12hr,0.5,5,1,0.5,0.6,0.17508919537067413
17,12hr,0.5,5,2,0.5,0.3,0.1965865194797516
18,12hr,0.5,5,2,0.5,0.6,0.22031614184379578
19,12hr,0.5,8,1,0.5,0.3,0.2052493393421173
20,12hr,0.5,8,1,0.5,0.6,0.19219836592674255
21,12hr,0.5,8,2,0.5,0.3,0.27221906185150146
22,12hr,0.5,8,2,0.5,0.6,0.16959339380264282
23,12hr,1.0,5,1,0.5,0.3,0.18785017728805542
24,12hr,1.0,5,1,0.5,0.6,0.2049175649881363
25,12hr,1.0,5,2,0.5,0.3,0.14668044447898865
26,12hr,1.0,5,2,0.5,0.6,0.21783411502838135
27,12hr,1.0,8,1,0.5,0.3,0.18368428945541382
28,12hr,1.0,8,1,0.5,0.6,0.18132908642292023
29,12hr,1.0,8,2,0.5,0.3,0.14886003732681274
30,12hr,1.0,8,2,0.5,0.6,0.19826187193393707
