,time_horizon,change_tolerance,forward_term,break_away_point,alpha,trend_reversal_factor,val_mean_absolute_error
-1,1hr,0.5,5,1,0.5,0.3,0.1917332112789154
0,1hr,0.5,5,1,0.5,0.6,0.17835958302021027
1,1hr,0.5,5,2,0.5,0.3,0.18920479714870453
2,1hr,0.5,5,2,0.5,0.6,0.1779465526342392
3,1hr,0.5,8,1,0.5,0.3,0.19246985018253326
4,1hr,0.5,8,1,0.5,0.6,0.19497188925743103
5,1hr,0.5,8,2,0.5,0.3,0.19135035574436188
6,1hr,0.5,8,2,0.5,0.6,0.19407270848751068
7,1hr,1.0,5,1,0.5,0.3,0.20610101521015167
8,1hr,1.0,5,1,0.5,0.6,0.17256246507167816
9,1hr,1.0,5,2,0.5,0.3,0.2030298262834549
10,1hr,1.0,5,2,0.5,0.6,0.1698736548423767
11,1hr,1.0,8,1,0.5,0.3,0.21427397429943085
12,1hr,1.0,8,1,0.5,0.6,0.18494382500648499
13,1hr,1.0,8,2,0.5,0.3,0.21674393117427826
14,1hr,1.0,8,2,0.5,0.6,0.17518290877342224
15,12hr,0.5,5,1,0.5,0.3,0.16267146170139313
16,12hr,0.5,5,1,0.5,0.6,0.1602495312690735
17,12hr,0.5,5,2,0.5,0.3,0.16138426959514618
18,12hr,0.5,5,2,0.5,0.6,0.13506874442100525
19,12hr,0.5,8,1,0.5,0.3,0.17407211661338806
20,12hr,0.5,8,1,0.5,0.6,0.15790176391601562
21,12hr,0.5,8,2,0.5,0.3,0.18768230080604553
22,12hr,0.5,8,2,0.5,0.6,0.1508931666612625
23,12hr,1.0,5,1,0.5,0.3,0.2010023444890976
24,12hr,1.0,5,1,0.5,0.6,0.1997079849243164
25,12hr,1.0,5,2,0.5,0.3,0.2057269662618637
26,12hr,1.0,5,2,0.5,0.6,0.20905040204524994
27,12hr,1.0,8,1,0.5,0.3,0.30455949902534485
28,12hr,1.0,8,1,0.5,0.6,0.28553885221481323
29,12hr,1.0,8,2,0.5,0.3,0.28381237387657166
30,12hr,1.0,8,2,0.5,0.6,0.2628808617591858
