,open,close,closeTime,close_ema,close_time_parsed,position,long_utility
0,736.42,738.85,1609502399999.0,738.85,2021-01-01 11:59:59,0.0,0.0
1,738.85,728.91,1609545599999.0,732.2233333333334,2021-01-01 23:59:59,,469.61904168955607
2,728.91,729.7,1609588799999.0,730.7814285714286,2021-01-02 11:59:59,,471.06094645146084
3,729.7,774.56,1609631999999.0,754.13,2021-01-02 23:59:59,,447.71237502288943
4,774.44,829.76,1609675199999.0,793.1648387096774,2021-01-03 11:59:59,,408.67753631321204
5,829.77,978.28,1609718399999.0,887.1915873015873,2021-01-03 23:59:59,,314.6507877213021
6,978.33,976.8,1609761599999.0,932.3485826771653,2021-01-04 11:59:59,,269.49379234572416
7,976.97,1041.43,1609804799999.0,987.1031764705882,2021-01-04 23:59:59,,214.73919855230122
8,1041.45,1042.21,1609847999999.0,1014.7105088062623,2021-01-05 11:59:59,,187.13186621662715
9,1042.23,1099.56,1609891199999.0,1057.1767253176931,2021-01-05 23:59:59,,144.6656497051963
10,1100.16,1151.88,1609934399999.0,1104.5514948705422,2021-01-06 11:59:59,,97.2908801523472
11,1151.88,1208.42,1609977599999.0,1156.4984297924298,2021-01-06 23:59:59,,45.34394523045967
12,1208.75,1201.12,1610020799999.0,1178.8119387132217,2021-01-07 11:59:59,,23.03043630966772
13,1201.32,1224.87,1610063999999.0,1201.8423750228894,2021-01-07 23:59:59,1.0,0.0
14,1224.86,1255.43,1610107199999.0,1228.637005218665,2021-01-08 11:59:59,,-5.853591928056858
15,1255.24,1216.93,1610150399999.0,1222.7834132906082,2021-01-08 23:59:59,0.0,0.0
16,1216.72,1220.64,1610193599999.0,1221.711698468769,2021-01-09 11:59:59,,32.356287863144644
17,1220.65,1276.0,1610236799999.0,1248.8559527814973,2021-01-09 23:59:59,,5.212033550416436
18,1276.0,1259.28,1610279999999.0,1254.0679863319137,2021-01-10 11:59:59,1.0,0.0
19,1259.28,1254.25,1610323199999.0,1254.1589932527477,2021-01-10 23:59:59,,-130.14677596897013
20,1254.24,1067.87,1610366399999.0,1161.0144522115954,2021-01-11 11:59:59,,-37.00223492781788
21,1067.65,1087.01,1610409599999.0,1124.0122172837775,2021-01-11 23:59:59,0.0,0.0
22,1087.0,1099.16,1610452799999.0,1111.5861071605812,2021-01-12 11:59:59,,-30.713055410931247
23,1099.15,1050.16,1610495999999.0,1080.87305174965,2021-01-12 23:59:59,1.0,0.0
24,1050.36,1061.6,1610539199999.0,1071.236525587634,2021-01-13 11:59:59,,62.34010627374437
25,1061.64,1129.89,1610582399999.0,1100.5632632308195,2021-01-13 23:59:59,,33.01336863055894
26,1129.79,1166.59,1610625599999.0,1133.5766318613785,2021-01-14 11:59:59,0.0,0.0
27,1166.48,1231.62,1610668799999.0,1182.5983161133092,2021-01-14 23:59:59,,3.8462629186001323
28,1231.89,1226.12,1610711999999.0,1204.3591580971872,2021-01-15 11:59:59,,-17.91457906527785
29,1226.28,1168.53,1610755199999.0,1186.4445790319094,2021-01-15 23:59:59,1.0,0.0
30,1168.48,1219.0,1610798399999.0,1202.7222895235345,2021-01-16 11:59:59,,12.553855241155588
31,1219.0,1227.83,1610841599999.0,1215.2761447646901,2021-01-16 23:59:59,0.0,0.0
32,1227.83,1219.52,1610884799999.0,1217.398072382592,2021-01-17 11:59:59,,118.2886821421805
33,1219.52,1232.45,1610927999999.0,1224.9240361917343,2021-01-17 23:59:59,,110.76271833303826
34,1232.5,1225.43,1610971199999.0,1225.1770180958745,2021-01-18 11:59:59,,110.50973642889812
35,1225.43,1258.45,1611014399999.0,1241.8135090481792,2021-01-18 23:59:59,,93.87324547659341
36,1258.52,1429.56,1611057599999.0,1335.6867545247726,2021-01-19 11:59:59,1.0,0.0
37,1429.47,1365.36,1611100799999.0,1350.5233772624401,2021-01-19 23:59:59,,-8.050032946837291
38,1365.36,1265.39,1611143999999.0,1307.9566886311427,2021-01-20 11:59:59,,34.51665568446015
39,1265.41,1376.99,1611187199999.0,1342.4733443156028,2021-01-20 23:59:59,0.0,0.0
40,1376.72,1236.31,1611230399999.0,1289.3916721577773,2021-01-21 11:59:59,,-89.21583607890898
41,1236.43,1110.96,1611273599999.0,1200.1758360788683,2021-01-21 23:59:59,1.0,0.0
42,1111.98,1197.57,1611316799999.0,1198.872918039434,2021-01-22 11:59:59,,18.53531147042486
43,1197.36,1232.62,1611359999999.0,1215.7464590197178,2021-01-22 23:59:59,,1.6617704901409525
44,1232.61,1219.07,1611403199999.0,1217.4082295098588,2021-01-23 11:59:59,0.0,0.0
45,1219.07,1233.6,1611446399999.0,1225.5041147549296,2021-01-23 23:59:59,,149.27264958943692
46,1233.46,1342.97,1611489599999.0,1284.2370573774651,2021-01-24 11:59:59,,90.53970696690135
47,1343.07,1392.51,1611532799999.0,1338.373528688733,2021-01-24 23:59:59,,36.40323565563358
48,1392.19,1411.18,1611575999999.0,1374.7767643443665,2021-01-25 11:59:59,1.0,0.0
49,1411.41,1317.88,1611619199999.0,1346.3283821721832,2021-01-25 23:59:59,,-16.43419108609146
50,1317.6,1313.46,1611662399999.0,1329.8941910860917,2021-01-26 11:59:59,0.0,0.0
51,1313.61,1365.97,1611705599999.0,1347.9320955430458,2021-01-26 23:59:59,,-49.45604777152289
52,1366.54,1249.02,1611748799999.0,1298.4760477715229,2021-01-27 11:59:59,1.0,0.0
53,1248.78,1239.03,1611791999999.0,1268.7530238857612,2021-01-27 23:59:59,,16.898488057119266
54,1238.93,1302.55,1611835199999.0,1285.6515119428805,2021-01-28 11:59:59,0.0,0.0
55,1302.54,1329.69,1611878399999.0,1307.6707559714403,2021-01-28 23:59:59,,63.23693302141987
56,1329.44,1416.96,1611921599999.0,1362.3153779857203,2021-01-29 11:59:59,,8.59231100713987
57,1416.83,1379.5,1611964799999.0,1370.9076889928601,2021-01-29 23:59:59,1.0,0.0
58,1379.56,1340.01,1612007999999.0,1355.4588444964302,2021-01-30 11:59:59,,11.295577751785004
59,1340.01,1378.05,1612051199999.0,1366.7544222482152,2021-01-30 23:59:59,0.0,0.0
60,1378.04,1354.29,1612094399999.0,1360.5222111241076,2021-01-31 11:59:59,,-24.049158343080535
61,1354.36,1312.55,1612137599999.0,1336.5361055620538,2021-01-31 23:59:59,,-0.06305278102672673
62,1312.45,1336.41,1612180799999.0,1336.473052781027,2021-02-01 11:59:59,1.0,0.0
63,1336.4,1374.17,1612223999999.0,1355.3215263905136,2021-02-01 23:59:59,,32.129236804743186
64,1374.09,1419.58,1612267199999.0,1387.4507631952567,2021-02-02 11:59:59,0.0,0.0
65,1419.58,1511.87,1612310399999.0,1449.6603815976282,2021-02-02 23:59:59,,145.74966610207548
66,1511.93,1537.68,1612353599999.0,1493.670190798814,2021-02-03 11:59:59,,101.73985690088966
67,1537.93,1664.49,1612396799999.0,1579.0800953994071,2021-02-03 23:59:59,,16.329952300296554
68,1664.67,1611.74,1612439999999.0,1595.4100476997037,2021-02-04 11:59:59,1.0,0.0
69,1611.77,1595.67,1612483199999.0,1595.5400238498519,2021-02-04 23:59:59,,78.63498211261117
70,1595.53,1662.78,1612526399999.0,1629.160011924926,2021-02-05 11:59:59,,45.01499403753701
71,1662.79,1719.19,1612569599999.0,1674.175005962463,2021-02-05 23:59:59,0.0,0.0
72,1718.95,1679.67,1612612799999.0,1676.9225029812314,2021-02-06 11:59:59,,-45.72594010857756
73,1679.67,1676.35,1612655999999.0,1676.6362514906157,2021-02-06 23:59:59,,-45.43968861796179
74,1676.35,1624.91,1612699199999.0,1650.7731257453079,2021-02-07 11:59:59,,-19.576562872653994
75,1624.89,1611.62,1612742399999.0,1631.1965628726539,2021-02-07 23:59:59,1.0,0.0
76,1611.46,1660.48,1612785599999.0,1645.838281436327,2021-02-08 11:59:59,,79.85878892275491
77,1660.63,1750.15,1612828799999.0,1697.9941407181636,2021-02-08 23:59:59,,27.702929640918228
78,1749.68,1753.4,1612871999999.0,1725.6970703590819,2021-02-09 11:59:59,0.0,0.0
79,1753.4,1769.13,1612915199999.0,1747.413535179541,2021-02-09 23:59:59,,7.834848615344299
80,1769.14,1792.02,1612958399999.0,1769.7167675897704,2021-02-10 11:59:59,,-14.468383794885085
