,time_horizon,change_tolerance,forward_term,break_away_point,alpha,trend_reversal_factor,val_mean_absolute_error
-1,1hr,0.5,5,1,0.5,0.3,0.16752366721630096
0,1hr,0.5,5,1,0.5,0.6,0.17836010456085205
1,1hr,0.5,5,2,0.5,0.3,0.16963493824005127
2,1hr,0.5,5,2,0.5,0.6,0.1818748265504837
3,1hr,0.5,8,1,0.5,0.3,0.17985573410987854
4,1hr,0.5,8,1,0.5,0.6,0.19492460787296295
5,1hr,0.5,8,2,0.5,0.3,0.1789207011461258
6,1hr,0.5,8,2,0.5,0.6,0.20534919202327728
7,1hr,1.0,5,1,0.5,0.3,0.21718470752239227
8,1hr,1.0,5,1,0.5,0.6,0.18999430537223816
9,1hr,1.0,5,2,0.5,0.3,0.22186830639839172
10,1hr,1.0,5,2,0.5,0.6,0.19106550514698029
11,1hr,1.0,8,1,0.5,0.3,0.20778007805347443
12,1hr,1.0,8,1,0.5,0.6,0.19231726229190826
13,1hr,1.0,8,2,0.5,0.3,0.21516335010528564
14,1hr,1.0,8,2,0.5,0.6,0.1911066174507141
15,12hr,0.5,5,1,0.5,0.3,0.14839406311511993
16,12hr,0.5,5,1,0.5,0.6,0.11401749402284622
17,12hr,0.5,5,2,0.5,0.3,0.14672797918319702
18,12hr,0.5,5,2,0.5,0.6,0.12078174203634262
19,12hr,0.5,8,1,0.5,0.3,0.14972783625125885
20,12hr,0.5,8,1,0.5,0.6,0.14287564158439636
21,12hr,0.5,8,2,0.5,0.3,0.1632874459028244
22,12hr,0.5,8,2,0.5,0.6,0.16779690980911255
23,12hr,1.0,5,1,0.5,0.3,0.1502947211265564
24,12hr,1.0,5,1,0.5,0.6,0.1561448574066162
25,12hr,1.0,5,2,0.5,0.3,0.13895867764949799
26,12hr,1.0,5,2,0.5,0.6,0.15103267133235931
27,12hr,1.0,8,1,0.5,0.3,0.15266501903533936
28,12hr,1.0,8,1,0.5,0.6,0.1424224078655243
29,12hr,1.0,8,2,0.5,0.3,0.15442141890525818
30,12hr,1.0,8,2,0.5,0.6,0.1435992568731308
