openTime,open,high,low,close,volume,closeTime,quoteAssetVolume,numOfTrades,takerBuyBaseAssetVolume,takerBuyQuoteAssetVolume,_
1609718400000,0.20625000,0.35530000,0.19203000,0.30153000,9425875292.34000000,1610323199999,2655525415.34725860,4017472,4752232513.24000000,1339175518.11333170,0
1610323200000,0.30154000,0.39740000,0.22880000,0.38081000,7465712740.32000000,1610927999999,2333743716.00434080,3222873,3736849553.95000000,1169641918.54944870,0
1610928000000,0.38077000,0.39724000,0.28000000,0.35345000,4478058553.70000000,1611532799999,1569349938.99083600,2416574,2213586392.70000000,776099933.73955100,0
1611532800000,0.35346000,0.37752000,0.30404000,0.34475000,3249056527.60000000,1612137599999,1122460879.81284900,2060080,1597319930.80000000,552184622.83012900,0
1612137600000,0.34464000,0.70888000,0.33214000,0.66109000,7553179586.82000000,1612742399999,3830630329.87032790,5401127,3779570572.45000000,1917139637.41584240,0
1612742400000,0.66109000,0.98000000,0.63191000,0.84364000,6043391695.41000000,1613347199999,4985655941.34601930,5841608,2983104856.53000000,2462242150.09393110,0
1613347200000,0.84288000,1.20000000,0.68560000,1.09894000,5163915970.53000000,1613951999999,4986679497.06680120,5692964,2592322863.01000000,2507242792.75196520,0
1613952000000,1.09955000,1.48800000,0.81000000,1.31203000,10266355257.60000000,1614556799999,11739142336.56181950,11114850,5142873512.40000000,5891733222.55829150,0
1614556800000,1.31279000,1.34800000,1.03374000,1.13042000,4490686655.50000000,1615161599999,5352888506.68172800,5893720,2219321929.10000000,2646758140.35363600,0
1615161600000,1.13073000,1.22000000,0.98500000,1.05243000,3071858133.30000000,1615766399999,3443837562.91526200,3780388,1522202341.30000000,1708376432.52545900,0
1615766400000,1.05241000,1.47299000,1.00000000,1.18561000,5710415456.60000000,1616371199999,7163000105.12154600,8354659,2880987565.90000000,3616732974.93577100,0
1616371200000,1.18561000,1.28755000,1.03800000,1.18983000,2781436657.20000000,1616975999999,3214015378.10154500,4340475,1358689384.50000000,1571366565.30042100,0
1616976000000,1.18983000,1.24796000,1.15100000,1.18206000,1868790426.50000000,1617580799999,2242395073.52420600,3031818,891574137.00000000,1070189259.00321400,0
1617580800000,1.18205000,1.34359000,1.15880000,1.26355000,2565071717.90000000,1618185599999,3153269184.37632400,4399743,1259946226.10000000,1550161957.45148700,0
1618185600000,1.26376000,1.55845000,1.07204000,1.27693000,4321705702.50000000,1618790399999,5934406392.69482200,7888167,2140190818.60000000,2940953803.91666100,0
1618790400000,1.27655000,1.32443000,0.92000000,1.09130000,3603171593.35000000,1619395199999,4175460298.48828050,5844696,1764578336.91000000,2046110699.60599360,0
1619395200000,1.09100000,1.41170000,1.07930000,1.32670000,2569820158.88000000,1619999999999,3340586112.68770500,4852530,1282631585.86000000,1667295061.49335000,0
1620000000000,1.32670000,1.83300000,1.25570000,1.76630000,4680375948.27000000,1620604799999,7318715255.24031900,8670574,2337897411.86000000,3659581132.72144400,0
1620604800000,1.76620000,2.47000000,1.50000000,2.30020000,6666591737.50000000,1621209599999,13013490007.29666300,14548005,3370095458.18000000,6588198482.52692200,0
1621209600000,2.30020000,2.32900000,1.01000000,1.31390000,8764599408.35000000,1621814399999,14401594646.08712700,16414279,4329238143.80000000,7124206115.42403200,0
1621814400000,1.31350000,1.83200000,1.24760000,1.57510000,5446595743.42000000,1622419199999,8512611571.08727500,11820240,2723495981.93000000,4257336030.66094600,0
1622419200000,1.57510000,1.88970000,1.52490000,1.67710000,3137175021.59000000,1623023999999,5375225972.02465200,7474326,1563682880.28000000,2680106865.34199000,0
1623024000000,1.67710000,1.74140000,1.35620000,1.55660000,2754349999.94000000,1623628799999,4211946204.90296400,5765724,1353409454.70000000,2069534299.96433400,0
1623628800000,1.55630000,1.61090000,1.30600000,1.42630000,1501408871.56000000,1624233599999,2228181771.36079300,3609355,727309076.06000000,1079743910.19440500,0
1624233600000,1.42620000,1.43710000,1.00010000,1.33800000,3434817779.27000000,1624838399999,4282304813.41797200,6373342,1687265032.66000000,2106000540.31843500,0
1624838400000,1.33790000,1.49550000,1.28250000,1.46150000,1587104439.69000000,1625443199999,2164811723.67031100,4023924,792326562.07000000,1081708711.46145400,0
1625443200000,1.46150000,1.46160000,1.28590000,1.34850000,1009982010.63000000,1626047999999,1397033213.56733600,2301171,489776302.81000000,677874023.79508000,0
1626048000000,1.34850000,1.37360000,1.14970000,1.18130000,928479637.42000000,1626652799999,1146946894.77586600,1781037,446814663.05000000,552372326.43405200,0
1626652800000,1.18140000,1.24870000,1.02020000,1.22840000,1250461227.47000000,1627257599999,1435271624.63531500,2243354,611301621.39000000,702021560.41793500,0
1627257600000,1.22830000,1.39910000,1.21360000,1.31420000,1484944329.61000000,1627862399999,1932880702.74554200,3561390,726068176.41000000,945419012.68337900,0
1627862400000,1.31450000,1.49410000,1.26130000,1.42550000,1330679881.11000000,1628467199999,1845614183.95784400,3983211,662129017.49000000,919048287.02790900,0
1628467200000,1.42560000,2.25000000,1.39330000,2.16670000,3040969659.49000000,1629071999999,5767506547.09676100,10560508,1535177117.87000000,2912643315.56970000,0
1629072000000,2.16670000,2.72120000,1.87000000,2.70490000,3225058754.60000000,1629676799999,7398870809.07052600,11393821,1609490232.09000000,3699234430.33354800,0
1629676800000,2.70500000,2.97190000,2.47000000,2.85100000,3154134672.27000000,1630281599999,8718383860.84089400,11723537,1570502844.49000000,4344416804.64484200,0
1630281600000,2.85000000,3.10100000,2.70200000,2.91000000,1651793723.77000000,1630886399999,4773069305.05631800,6123864,810866676.51000000,2344963219.82240200,0
1630886400000,2.91100000,2.92700000,2.00000000,2.58100000,3461118765.47000000,1631491199999,8812012577.79690900,9583080,1689876424.30000000,4304311691.89346100,0
1631491200000,2.58000000,2.59300000,2.25900000,2.28300000,1438932215.40000000,1632095999999,3473771229.72540000,4129152,705620751.90000000,1704223661.98490000,0
