openTime,open,high,low,close,volume,closeTime,quoteAssetVolume,numOfTrades,takerBuyBaseAssetVolume,takerBuyQuoteAssetVolume,_
1609459200000,736.42000000,749.00000000,725.10000000,738.85000000,331475.51380000,1609502399999,244772297.24318580,250771,167858.84108000,123999052.48551700,0
1609502400000,738.85000000,743.33000000,714.29000000,728.91000000,343638.57949000,1609545599999,251299746.53422160,232900,171129.69050000,125241321.45316690,0
1609545600000,728.91000000,740.49000000,714.91000000,729.70000000,337387.45782000,1609588799999,246164356.00209530,217150,171978.30917000,125497557.20287680,0
1609588800000,729.70000000,787.69000000,728.25000000,774.56000000,1015231.11886000,1609631999999,778307826.60999170,606984,514696.42425000,394418269.80860870,0
1609632000000,774.44000000,832.30000000,768.71000000,829.76000000,734009.76158000,1609675199999,588270222.36105620,471801,380099.84777000,304807211.19460080,0
1609675200000,829.77000000,1011.07000000,826.38000000,978.28000000,2079594.12457000,1609718399999,1934141637.37055350,1164700,1058927.95109000,985459064.39854800,0
1609718400000,978.33000000,1162.97000000,890.00000000,976.80000000,2605285.30280000,1609761599999,2641410889.14406990,1475899,1314795.50070000,1334922139.68509660,0
1609761600000,976.97000000,1058.16000000,956.12000000,1041.43000000,1639725.63724000,1609804799999,1662223314.07552880,1001963,811542.17140000,822716879.64409470,0
1609804800000,1041.45000000,1134.60000000,974.45000000,1042.21000000,1603397.96449000,1609847999999,1676902524.60785690,1098577,795751.42040000,832668770.21752180,0
1609848000000,1042.23000000,1120.00000000,1001.00000000,1099.56000000,1103597.71076000,1609891199999,1180147755.40028540,861926,541889.60754000,579882682.63603630,0
1609891200000,1100.16000000,1166.58000000,1057.26000000,1151.88000000,1097016.32967000,1609934399999,1213857320.72101070,763677,569765.43813000,631147621.16074610,0
1609934400000,1151.88000000,1213.00000000,1116.61000000,1208.42000000,1293120.26367000,1609977599999,1511404800.56750240,837211,658190.45037000,770091859.36983320,0
1609977600000,1208.75000000,1224.11000000,1159.03000000,1201.12000000,739596.27325000,1610020799999,886426372.89150560,553429,366767.50621000,439805617.33472900,0
1610020800000,1201.32000000,1289.00000000,1131.00000000,1224.87000000,1233326.54734000,1610063999999,1519793518.47702870,849270,607959.46895000,749940408.81665540,0
1610064000000,1224.86000000,1270.24000000,1065.00000000,1255.43000000,1115324.52852000,1610107199999,1315093624.13531860,886140,547760.83465000,647650078.93237200,0
1610107200000,1255.24000000,1273.75000000,1135.51000000,1216.93000000,1015848.39489000,1610150399999,1228333828.44480690,832677,495128.27044000,598969218.48746740,0
1610150400000,1216.72000000,1237.00000000,1171.36000000,1220.64000000,667663.11713000,1610193599999,804621193.65518230,555827,331962.15937000,400244251.47640700,0
1610193600000,1220.65000000,1304.37000000,1194.08000000,1276.00000000,781207.99801000,1610236799999,975516182.76128720,576044,414407.53743000,518088879.29192310,0
1610236800000,1276.00000000,1348.33000000,1257.60000000,1259.28000000,843413.35344000,1610279999999,1108581491.34467780,620223,428348.26102000,563536202.72453310,0
1610280000000,1259.28000000,1325.00000000,1170.00000000,1254.25000000,1107765.99659000,1610323199999,1409210361.06308430,817263,551444.04434000,702667372.37075380,0
1610323200000,1254.24000000,1260.00000000,1010.91000000,1067.87000000,1886200.86224000,1610366399999,2094300267.63757250,1266007,900935.78514000,1000528173.72830260,0
1610366400000,1067.65000000,1103.12000000,915.00000000,1087.01000000,2213250.03822000,1610409599999,2229264241.06206480,1311489,1080186.23320000,1089078554.98440540,0
1610409600000,1087.00000000,1150.02000000,1038.34000000,1099.16000000,1132045.85300000,1610452799999,1241913763.59067430,748180,578797.35965000,635282917.16540220,0
1610452800000,1099.15000000,1126.88000000,1006.33000000,1050.16000000,1170599.48752000,1610495999999,1249153328.91945290,768445,571060.64526000,609379229.11987860,0
1610496000000,1050.36000000,1096.64000000,987.48000000,1061.60000000,906104.23739000,1610539199999,946079301.62967490,619381,448255.64088000,468505978.29003070,0
1610539200000,1061.64000000,1137.65000000,1045.07000000,1129.89000000,658098.15342000,1610582399999,718099667.44412950,504602,344559.16481000,376150839.93550620,0
1610582400000,1129.79000000,1174.73000000,1086.70000000,1166.59000000,715988.54572000,1610625599999,813599866.48572340,533376,369385.90470000,419917472.59666300,0
1610625600000,1166.48000000,1247.55000000,1147.51000000,1231.62000000,839748.83984000,1610668799999,1012261047.68807210,722393,425020.05973000,512537231.50470600,0
1610668800000,1231.89000000,1256.98000000,1175.41000000,1226.12000000,748408.75398000,1610711999999,916172840.82591860,659132,385167.19190000,471776582.03172620,0
1610712000000,1226.28000000,1230.64000000,1069.42000000,1168.53000000,1195630.08340000,1610755199999,1386608278.13282080,860134,580951.54091000,673741442.45950600,0
1610755200000,1168.48000000,1225.52000000,1151.77000000,1219.00000000,619647.87436000,1610798399999,738260219.63507330,498838,321519.69712000,383254513.29387230,0
1610798400000,1219.00000000,1298.00000000,1188.00000000,1227.83000000,955736.56361000,1610841599999,1189192954.97671980,753635,482911.47091000,601300953.79758760,0
1610841600000,1227.83000000,1258.00000000,1165.00000000,1219.52000000,757384.97095000,1610884799999,916185142.17464290,591252,376665.05977000,455922574.58265600,0
1610884800000,1219.52000000,1269.02000000,1191.03000000,1232.45000000,559900.03484000,1610927999999,690239222.32239890,530026,288585.44472000,355959368.87286940,0
1610928000000,1232.50000000,1247.73000000,1182.58000000,1225.43000000,514983.06646000,1610971199999,626251089.27980680,509697,252350.04476000,307045203.88173150,0
1610971200000,1225.43000000,1260.75000000,1211.66000000,1258.45000000,483067.04427000,1611014399999,597376951.45745390,430907,247409.19526000,306103301.68387480,0
1611014400000,1258.52000000,1433.00000000,1251.49000000,1429.56000000,1195606.42537000,1611057599999,1608656825.24930100,902833,633687.15815000,853051935.86465200,0
1611057600000,1429.47000000,1438.30000000,1334.41000000,1365.36000000,1083246.13221000,1611100799999,1512324098.68100780,937648,524342.24478000,732741867.79610870,0
1611100800000,1365.36000000,1407.93000000,1250.00000000,1265.39000000,1190378.04040000,1611143999999,1590499139.49983020,922388,574672.51659000,768857997.07533530,0
1611144000000,1265.41000000,1389.42000000,1235.42000000,1376.99000000,1028759.58104000,1611187199999,1341157156.96717030,929865,528708.57101000,690173152.71452070,0
1611187200000,1376.72000000,1390.00000000,1222.00000000,1236.31000000,1050121.60627000,1611230399999,1354503648.84222230,830807,506579.11105000,653765278.34268690,0
1611230400000,1236.43000000,1260.00000000,1086.00000000,1110.96000000,1260086.96671000,1611273599999,1502785256.73491060,1033813,608029.78042000,726050218.67892830,0
